timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1533222559.839,59.105,28.320,15.137,12.207,54.199,0
1533222559.843,62.012,30.273,43.945,11.719,79.102,0
1533222559.847,44.922,30.273,-97.656,11.230,32.715,0
1533222559.851,28.809,27.832,-110.352,9.277,29.785,0
1533222559.855,36.156,28.809,-73.242,11.230,50.781,0
1533222559.859,57.617,36.133,-17.090,16.113,37.109,0
1533222559.862,74.219,38.574,42.480,27.832,20.020,0
1533222559.866,57.129,33.691,-30.273,34.180,28.320,0
1533222559.870,23.949,29.785,-101.074,13.184,64.941,0
1533222559.874,20.020,33.203,-92.285,9.277,40.527,0
1533222559.878,41.504,33.203,-24.902,15.625,-0.488,0
1533222559.882,51.758,29.785,68.359,14.160,37.598,0
1533222559.886,47.852,34.180,-29.297,21.973,55.176,0
1533222559.890,34.180,36.133,-122.070,17.578,59.570,0
1533222559.894,33.691,34.668,-84.473,12.207,81.543,0
1533222559.898,52.246,36.133,-20.996,20.508,-8.789,0
1533222559.901,62.012,40.039,21.973,21.973,-58.594,0
1533222559.905,51.781,36.133,-81.055,14.648,-9.277,0
1533222559.909,38.574,34.668,-115.234,16.113,37.598,0
1533222559.913,45.410,44.434,-64.941,21.484,18.555,0
1533222559.917,59.570,41.992,21.973,23.438,21.973,0
1533222559.921,68.359,37.598,62.012,21.484,69.824,0
1533222559.925,63.965,48.340,-47.852,20.508,33.203,0
1533222559.929,52.734,52.246,-147.949,20.020,14.160,0
1533222559.933,58.594,53.223,-100.586,18.555,10.742,0
1533222559.937,69.336,53.711,-47.852,21.484,28.320,0
1533222559.941,74.219,49.316,10.742,25.879,12.695,0
1533222559.944,73.730,47.363,24.414,30.273,41.504,0
1533222559.948,62.012,42.969,-127.441,32.227,83.008,0
1533222559.952,54.199,39.062,-127.930,33.203,85.938,0
1533222559.956,69.336,39.551,-56.152,30.762,62.988,0
1533222559.960,91.309,41.016,34.668,34.180,38.086,0
1533222559.964,95.332,39.551,36.621,37.598,-5.859,0
1533222559.968,71.777,39.062,-101.562,36.133,2.441,0
1533222559.972,72.754,37.109,-107.422,35.156,-1.465,0
1533222559.976,87.891,38.086,-22.461,31.250,1.953,0
1533222559.980,103.027,41.504,39.551,32.715,6.348,0
1533222559.984,102.539,34.668,7.812,34.180,3.418,0
1533222559.987,80.078,38.086,-97.168,36.133,41.016,0
1533222559.991,77.637,50.781,-90.820,44.434,-14.160,0
1533222559.995,94.145,61.523,-24.414,50.781,15.137,0
1533222559.999,107.910,66.406,32.227,58.105,87.891,0
1533222560.003,107.910,60.547,51.758,56.152,77.637,0
1533222560.007,96.680,62.012,-34.668,48.828,53.711,0
1533222560.011,86.426,69.336,-73.242,46.875,19.043,0
1533222560.015,82.379,64.453,-64.453,42.480,32.227,0
1533222560.019,105.957,62.012,-4.883,43.945,65.430,0
1533222560.023,113.770,69.336,81.543,49.805,25.391,0
1533222560.026,98.145,70.801,-29.297,55.664,28.320,0
1533222560.030,83.008,64.941,-80.078,49.316,57.129,0
1533222560.034,89.844,62.012,-66.406,40.039,16.602,0
1533222560.038,107.422,62.500,15.625,42.969,9.766,0
1533222560.042,110.352,54.688,41.016,45.898,-4.395,0
1533222560.046,88.379,46.387,-95.215,38.086,-34.668,0
1533222560.050,63.477,41.504,-116.211,32.715,-6.836,0
1533222560.054,64.941,37.598,-58.594,29.785,-8.789,0
1533222560.058,85.449,33.203,-23.438,28.320,-36.621,0
1533222560.062,88.379,29.785,41.016,30.762,-45.898,0
1533222560.066,72.754,28.809,-20.020,26.855,-12.695,0
1533222560.069,64.941,28.320,-128.906,21.973,25.879,0
1533222560.073,60.547,21.973,-99.121,18.555,60.059,0
1533222560.077,62.500,20.020,-14.160,14.648,80.566,0
1533222560.081,72.754,22.461,28.320,16.602,30.762,0
1533222560.085,58.105,19.043,-50.293,15.137,2.930,0
1533222560.089,40.527,16.113,-156.250,11.719,-30.762,0
1533222560.093,47.363,18.066,-117.188,10.742,-30.762,0
1533222560.097,57.617,17.090,-49.316,6.836,22.949,0
1533222560.101,69.824,16.602,20.996,10.742,-0.488,0
1533222560.105,70.312,18.066,34.180,15.625,-2.930,0
1533222560.108,53.223,20.996,-94.727,14.648,37.109,0
1533222560.112,45.410,17.578,-109.863,14.648,19.043,0
1533222560.116,57.617,17.090,-26.855,14.648,2.441,0
